Product,ID,Comments,Feature_Request_Enhancement,NA,Other_Issue_Negative_Feedback,Positive_Feedback,Process_Issue,Support_Issue,Technical_Performance_Issue,Usability_Issue
ServiceInsight7,td_ClientAddress_60,"Overall Service Insight is user friendly and intuitive. My main complaint is the fact I have to refresh it every 5 minutes in order for the QuickList to stay active. Or, if I am working on something, exit and come back, it appears to be 'active' when the second you hit something it has to refresh. It would be better to just time out completely and return to the log in screen if it can't stay actively running, so at least you don't falsely believe your info is active and correct when it's not. ",0,0,0,0,0,0,1,0
ServiceInsight7,th_ClientAddress_127,"I would like to be able to use SI7 as a financial tracking tool, but currently unable which makes inefficient use of my time. ",1,0,0,0,0,0,0,0
ServiceInsight7,TT_282,Not very robust nor intuitive interface. Personally I   would like ( among other things ) better print options so that one can print out task lists/ procedures etc into hardcopy instead of being fully limited to referring back to electronic device all the time.,1,0,0,0,0,0,0,0
ServiceInsight7,ts_259,"The display boxes in the PM jobs screen, are just small enough to be maddening. There is room on the screen for larger boxes, so you can see all of the details in the PM job boxes that display the PM jobs without having to scroll a half inch, but this room isn't utilized. Also, when checking the Cycle Statuses in the PM jobs, only the work order(s) for one cycle show in the data results list below, even if more than one cycle ran for the time frame indicated - you have to use a drop down for the Cycle Instance field to see all of the cycles that ran during the time frame. It would be very helpful to see ALL work orders that ran during the time frame indicated/selected. ",0,0,0,0,0,0,0,1
ServiceInsight7,tg_ClientAddress_103,"WE need to get more training to our customer on how to submit work order through Service Insight. I am showing a lot of customer how to use it. Plus the one that are submitting work orders, they are over the spectra and I spend time to correct them, so we a get a true count on issues we are working on.",0,0,0,0,0,1,0,0
ServiceInsight7,tl_ClientAddress_180,It freezes sometimes which makes creating work orders for clients harder. especially if we are in the middle of creating it and we'd have to re-do everything,0,0,0,0,0,0,1,0
ServiceInsight7,ts_ClientAddress_252,gets to complicated or confusing with all the dropdowns and choices. I don't use 80% what what's there and never will. also the program has a tendency of dropping out or closing while in the middle of work (timing out). ,0,0,0,0,0,0,1,1
ServiceInsight7,tk_ClientAddress_152,"Direct every request for my team directly to me. Skip the FC, and FM. It sits in their queue at times . Lost time I need to meet SLA.",0,0,0,0,1,0,0,1
ServiceInsight7,TH_119,The service desk computer is not set up like the PDA. Some of information is not in proper order. Once you figure it out it is not to bad,0,0,0,0,0,0,1,1
ServiceInsight7,td_ClientAddress_65,"The feedback/ survey email needs to be changed - I think, we should be creative to ask for feedback messages by changing the font and make it short and easy to read",0,0,0,0,0,0,0,1
ServiceInsight7,TM_201,I cant see what inside the request writing when I controlling my work section.,0,0,0,0,1,0,1,0
ServiceInsight7,ss_ClientAddress_271,"In comparison to NVS's tool, SI7 is complicated, overpopulated with options (for office needs) and visually overcrowded. ",0,0,0,0,0,0,0,1
ServiceInsight7,sf_88,"It is difficult to track work request.  It would be better with without the need for ""like"" or ""%"".",0,0,0,0,0,0,0,1
ServiceInsight7,SF_87,Remove the additional OK buttons and be allowed to conduct multiple tasks within the same frame or screen ,0,0,0,0,0,0,0,1
ServiceInsight7,sw_301,"The performance and speed leaves a lot to be desired - you wait MUCH too long between steps. besides, you don't need this confirmation pop-up at all. You need two clicks each time and accordingly more time for a confirmation that a work step is done. this extends the time for a WO additionally.",0,0,0,0,0,0,1,1
ServiceInsight7,sao_ClientAddress_2,"SI used to have the option to change completion target date if the WO could not be completed on time. It was very useful, should be back",1,0,0,0,0,0,0,0
ServiceInsight7,ST_288,Seems like there should be a button we can click on to add the attachments.  VOS users do not always get the attachments. ,1,0,0,0,0,0,0,0
ServiceInsight7,sk_163,incorporate the 360 into the applicatons to prompt a safety review before any work is completed.,1,0,0,0,0,0,0,0
ServiceInsight7,SH_118,The JSA for the PM jobs for my engineers are not applicable for their task.  The only option they have is Open / Complete.  The option N/A needs to be added so that we are truly filling them out correctly.  Right now you have to select complete to get it to show as closed. ,1,0,0,0,1,0,0,0
ServiceInsight7,ss_ClientAddress_272,"'- Cost code selection is slow, and will erase input if done before the cost code has time to load - No Popup to show when session has become inactive - Login screen is unsecure (for me to 'log in' is to just delete the section of the url 'https://sso.mainstreamsasp.com/PRD00177CFG/log in' "" - After creating a WO, if creating a second one, and switching back to the first, the title will duplicate to the other one, and affect both (or all if more then 2). This causes confusion for the vendor.  If you want to see these issues, I can show you. Email: Shtefan Sykora - SYKORA@UPS.COM .",0,0,0,0,0,0,1,1
ServiceInsight7,sb_ClientAddress_26,To be able to cancel or approve PO's,1,0,0,0,0,0,0,0
ServiceInsight7,SJ_137,æ— ,0,1,0,0,0,0,0,0
ServiceInsight7,sa_ClientAddress_8,"The passwords are a real problem.  There needs to be a clearer definition about what applications change when I am required to change passwords.  There is SI7, Service Tools, Imfm, Vantage, Sharepoint Site  & Microsoft Smartsheets that all interface with each other.  When the password is changed, it changes the password in some apps but not others.  It generally takes me 2 hours to change the passwords often times it ends up with a password reset because I locked myself out of at least one application.",0,0,0,0,0,0,1,1
ServiceInsight7,sw_299,I WOULD LIKE FOR SI7 TO COMMUNICATE MORE WITH COUPA. CHANGES THAT ARE MADE IN SI7 I WOULD LIKE FOR IT TO FLOW TO COUPA,1,0,0,0,0,0,1,0
ServiceInsight7,ss_261,Improve the reporting system.,1,0,0,0,0,0,0,0
ServiceInsight7,sz_320,"It would help if there was more consistency with SI desktop, iMFM, and VAWS. The way you see the same data is so different between each application. ",0,0,0,0,0,0,1,0
ServiceInsight7,sh_122,It could include parts listing,1,0,0,0,0,0,1,0
ServiceInsight7,sc_ClientAddress_40,"Options for site, building/floor/area should be consistent throughout all locations for all ticket types. Ie: Male vs. Men's and Female vs. Women's. Both are within the same dropdown.   Would like to see Site or Grounds an option for ALL building/floor location options under each category.  Would like to see Locks (CBRE function, not Security), Konica (repair / ink replacement / paper), and Flooring Repair under Quick Requests  Correct spelling under Quick Requests for Food Service Requst (should be Request)  ",1,0,0,0,0,0,1,0
ServiceInsight7,SF_86,"Less nuances to make simple changes.  For example, closing a building requires work to be done at all four levels of the location hierarchy, attached matrices and employee records.  This requires various data loads and back and forth between numerous screens.",0,0,0,0,0,0,1,1
ServiceInsight7,SG_99,"Please add ""change problem code"" and ""change/set location"" to the mobile app. ",1,0,0,0,0,0,0,0
ServiceInsight7,se_ClientAddress_81,"I'm still learning how to use the software, so I don't have much improvement comments other than the look and feel seems very outdated.",0,0,0,0,0,1,0,1
ServiceInsight7,Sk_149,In general the software serves its purpose but the program has been down quite a bit during the time I have worked for CBRE. This year we had the issue with hacking or mal-ware...but there are frequently issues with MFM. It just seems like CBRE devotes great resources to systems that are less important to the daily work of our FM teams. The impression that most of my reports have is that CBRE doesnt care about the system at all and doesnt devote resources to making it better.,0,0,0,0,0,0,1,0
ServiceInsight7,SG_113,It would be awesome if when creating a work order if it could be completed on one screen.  When I have to create a work order with a quote there are too many steps involved.  It seems that every time that you navigate from one screen to the next you have to wait.,0,0,0,0,0,0,0,1
ServiceInsight7,sm_200,"Lack of consistency with keeping conductivity. It Can lack user friendly features from time to time when it comes to communicating with other vendors attached to VAWS. It gives you an option to email outside attributes but doesn't always seem to deliver messages sent. There should be a more direct communication string that lets you see important messages sent back from the vendor or that you send to them that get directed to the recipient except through an email a message attached to the work order when it's closed. Also, the client needs to have a better understanding, at times, with what work gets sent to maintenance requests and other tasks outside of our scope ",1,0,0,0,0,0,0,1
ServiceInsight7,sc_ClientAddress_56,"More user friendly, does not flow.  Reports are cumbersome to populate.  ",0,0,0,0,0,0,1,1
ServiceInsight7,SB_30,"Firstly, nobody in management seems to realise what users are saying, SI7 is not fit for purpose!! Things have never worked properly & since the 'upgrade' 2.5 years ago it's been worse. Over half of our jobs disappeared after the change over to SI7. Our guy met with the SI7 rep for 2 days, went through all the problems & nothing was changed or done about them. Task cards are not correct for jobs. You can't add hours or edit after a jobs closed. You can't see other users times that have been booked to a job so can't tell if times overlap. You can't drag & drop jobs in the dashboard any more. Why did you waste time developing JARVIS when it's hardly used & the core basics aren'y running properly? Why is no-one in management willing to step up & get things fixed & working properly?   These are just some of the problems, but no-one listens to the boots on the ground when they're saying thing's need to be fixed for us to do our jobs properly!",1,0,0,0,0,0,1,1
ServiceInsight7,SM_203,"Unfortunately, the Platform is very slow and loads slowly, looks like a 20-year-old website. ",0,0,0,0,0,0,1,0
ServiceInsight7,SY_318,"I think if the ServiceInsight UX is more intuitive, then it would be much easier to use. I addition, I hope that the speed of the website could be improved. ",0,0,0,0,0,0,1,1
ServiceInsight7,sb_ClientAddress_28,It would be great as I can find all reports in the work order directly.,1,0,0,0,0,0,0,0
ServiceInsight7,rl_ClientAddress_173,"I have worked with and built several WO/PM programs. This program is SLOW and not user friendly. We have had it for a year and still do not have a working PM Program that matches what I have asked for. The auto-dispatch make no sense. The Problem codes make no sense. This system is under par for technology and over par for being outdated. I have real input if someone would like it, but unless someone is willing to listen, it just sounds like complaints.",0,0,0,0,0,0,1,1
ServiceInsight7,re_78,I haven't used anything else. So I have no complaints ,0,1,0,0,0,0,0,0
ServiceInsight7,RD_70,For On call weekends make it so the person on call only receives P1s and P2s. ,1,0,0,0,1,0,0,0
ServiceInsight7,rt_273,It would be nice if there were a master list of manufacturers and models that covered all clients. We often get junk from the field in those two fields and have to do all sorts of cleanup.,1,0,0,0,0,0,1,0
ServiceInsight7,rs_ClientAddress_268,Printing reports does not always work for what I need,0,0,0,0,0,0,1,0
ServiceInsight7,rzmaranda_ClientAddress_322,"would be great if i could receive email notifications each time an employee opens a ticket for us. without emails, i have to refresh the page all the time just to make sure we don't have anything pending",0,0,0,0,0,0,0,1
ServiceInsight7,rm_ClientAddress_210,I am frequently disconnected even minutes after re-connecting. The problem occurs more often when using the Client laptop from their secure network. It happens less often on hotspot or personal wi-fi.,0,0,0,0,0,0,1,0
ServiceInsight7,re_76,It can be really slow to use.,0,0,0,0,0,0,1,0
ServiceInsight7,ra_6,My level of security does not allow for the correct information to be updated for assets or work tasks,0,0,0,0,1,0,0,0
ServiceInsight7,rc_42,"it would be nice to receive ""training"" on the SI7 to better understand what all it has to offer. Everything I know on the SI7 app is what I learned by trial and error.  very little training was offered to me when I came back to CBRE almost 4 years ago.  We have had one training day on Teams with Ms. Frenetta Tate.  I, along with several others of my team, have had little class training time on this app.  I probably could be doing something in an easier fashion if I only knew the system better.  I typically use my phone app to complete most of my work on SI7.  I'm not comfortable or understand SI7 enough to",0,0,0,0,0,1,0,0
ServiceInsight7,rp_229,The platform is very useful for addressing work orders.,0,0,0,1,0,0,0,0
ServiceInsight7,rd_ClientAddress_69,"Coming from using Corrigo this system is less efficient, slow, and lacks some of the tools other systems have. ",1,0,0,0,0,0,1,1
ServiceInsight7,RW_ClientAddress_310,There are a lot of restrictions in SI that make it a difficult program to self-serve in and to customize to improve the customer experience. Navigational functionality steps do not make the user experience efficient. I have a list if interested. 256-990-9087,0,0,0,0,0,0,0,1
ServiceInsight7,rs_264,"Do some research on the market and check how modern applications work. For example Singu FM or many, many others.",1,0,0,0,0,0,1,1
ServiceInsight7,RT_274,"It would be awesome if there was a field indicating whether or not the property is leased, owned or partially managed.",1,0,0,0,0,0,1,0
ServiceInsight7,rp_233,"I would love to be able to do all the functions from the IMFM, AMFM apps instead of having to use the computer. It would be nice to open WO's for vendors without having to open them and dispatching to me, then reassigning them to the vendor. If Service Insight and Site tools were integrated so that M/n and S/n would show on the WO it would be helpful especially if a tech was working in an unfamiliar location.  The ability to add time ahead of the actual date for vacation or holiday. This would be much more efficient so while we were on vacation we didn't have to interrupt our vacation time to make sure that our payroll time is accurate. ",1,0,0,0,0,0,0,0
ServiceInsight7,rw_303,A number of the processes require numerous steps to confirm an action and to clear the actions acknowledgment.  NTE uplift is totally illogical   These problems may be driven by user approval levels.,1,0,0,0,0,0,1,1
ServiceInsight7,RM_204,"Not for me, but for contractors I do business with. They need more help navigating the system/portal.",0,0,0,0,0,1,0,1
ServiceInsight7,rj_ClientAddress_138,I'm unable to view just my current and past requests. The website shows every request from other users as well. ,0,0,0,0,1,0,0,1
ServiceInsight7,RS_256,I don't use Service Insight ,0,1,0,0,0,0,0,0
ServiceInsight7,ra_ClientAddress_1,Make it more user friendly and have more info on the assets we have onsite. Give us the ability to add/change asset info. Make the call entry and compleation process easier and faster to complete. Make the app easier to use. Text our work phone when a new work order is made and when they are coming due. Create a bar code scan tool. Customize check list for PM and job steps. Have better unit info and ability to add asset to new work order for tracking. Have a real time help line for techs having trouble with SI7.,1,0,0,0,0,0,1,1
ServiceInsight7,rw_ClientAddress_308,SI7 and Coupa need to be integrated. Once a WO is dispatched to a vendor the WO is basically useless and becomes a record. Running any kind of cost analysis report has to be done separately because you can't pull in labor (CBRE) and vendor labor/parts together.  Vendors resist and don't use VAWS. With Coupa it's not needed anyways. A PO is created right away not like JDE. ,1,0,0,0,0,0,0,0
ServiceInsight7,ri_131,In general is one tool complet,0,0,0,0,0,0,0,1
ServiceInsight7,pn_ClientAddress_216,Clearer method to retrieve WO's accidentally/incorrectly closed.,0,0,0,0,0,0,0,1
ServiceInsight7,PM_205,Service Insight could move a lot faster. It has a lot of glitches,0,0,0,0,0,0,1,0
ServiceInsight7,PP_222,When making a new w/o order and you get all the end and it says you need to add in the “area” box. So you go back to the box and it erases everything you have already input.  Can that please be fixed.,0,0,0,0,0,0,1,1
ServiceInsight7,Pk_159,Make it easier to attach attachments to a work order/request,0,0,0,0,0,0,0,1
ServiceInsight7,PT_276,A little vague on the meaning and purpose of this service ,0,1,0,0,0,0,0,0
ServiceInsight7,PK_ClientAddress_154,The web page loads too slowly.  Honeywell customers should have a prompt to enter their email instead of Username.,0,0,0,0,0,0,1,0
ServiceInsight7,pc_37,The mobile version is hard to use sometimes you put a work order in and it doesn't come thru  if you do a field PO it doesn't come thru you actually ave to close it out and relog in to see the field PO ,0,0,0,0,0,0,1,1
ServiceInsight7,PV_292,"Systems take long to load or refresh . Often kick out , Hard to find the vendor or a category of jobs .   If you want to know what kind of tools could beat SI7 , look at Monday app . This is very user friendly and efficient ",0,0,0,0,0,0,1,1
ServiceInsight7,PR_235,"In iMFM have the work orders change color as they get closer to the due dates. Green when they are on time, yellow as they approach the due date, and red when they late. ",1,0,0,0,0,0,0,1
ServiceInsight7,OT_277,"Make a team of Facility managers and technicians (workshop), getter data, and deployments on which way the program can make statistical deployments of tickets (cause, time duration, etc...). PowerBI has the same possibility to constantly take automatic data and transfer it into charts which can be by local area presented. MyVantage is great for keeping KPIs in check, but we need statistics to be proactive and to reduce the time for which we consume in finding the biggest cause of failures for our tickets. The overall system is ok, put have space to be great.   ",1,0,0,0,0,0,1,0
ServiceInsight7,OT_287,To open  a sub PM is too complicated. As well I face often issues by dispatching date of a work order. which is marked in the past and then too late to close properly the PM (wiht a smily green face for success) ,0,0,0,0,0,0,0,1
ServiceInsight7,nm_208,Longer duration between logins is frustrating you start a work order roll back 1/2 - 1 hour later on the mobile ap and you are staring overall waste of time & resources,0,0,0,0,0,0,1,0
ServiceInsight7,nd_ClientAddress_63,It would be beneficial to be able to make copies of WOs.  Site number/location codes would be useful in the WO number.,1,0,0,0,0,0,0,0
ServiceInsight7,na_ClientAddress_5,"When viewing the Quick List, regardless of how many WO lines a user applies in the system (I have it set to 75 lines), only 9 are visible, because of the fixed letter box style panel they are listed in. If this was expanded so that more were visible, making better use of the browser window available, WOs would be much easier to find when scrolling up and down the list.  WOs that have been closed have their status changed to ""posted"" after a period of time. It is not possible to link new WOs to posted WOs as related. This would be useful, as relating tickets builds a knowledge base over time.",1,0,0,0,0,0,1,1
ServiceInsight7,NB_24,Frequently experienced connectivity issues ,0,0,0,0,0,0,1,0
ServiceInsight7,nd_66,You may have a way of doing this that I don't know about. Let's say I have a pm ID for air fan. Well that ID for that all the air fans in the building are the same. I can't get SI7 to assign the af on one floor to one tech and assign another af to a different tech automaticly. I have to send all af to myself and then assign them to my techs. Waste a lot of time.,1,0,0,0,0,1,0,1
ServiceInsight7,NN_ClientAddress_212,"The system could have local support, able to serve each market and training materials translated into several languages â€‹â€‹for use by the managers of each contract, in addition, new users when registering do not automatically receive a password as already done in the past. thanks.",0,0,0,0,0,1,1,0
ServiceInsight7,NM_207,"make it mandatory to have problem description along with problem location and other key details, before someone can submit a work order. make it have more steps to complete a work order so people who need the info get it an those who don't give enough will start correctly filling the request out ",1,0,0,0,0,0,0,1
ServiceInsight7,mb_15,it would be great to get an app for the phone that works as good as the computer version. thanks Myron,0,0,0,0,0,0,0,1
ServiceInsight7,mv_ClientAddress_293,I would like to have additional access to view all work orders for a particular facility that I oversee. ,1,0,0,0,1,0,0,0
ServiceInsight7,mp_ClientAddress_223,maybe add in some more problem code or equipment group categories to list,0,0,0,0,0,0,1,0
ServiceInsight7,MN_215,"We also use VAWS a part of the Service Insights suite.  The tool is useful because it is what we have. However, I have experienced some difficulties with the setup/configurations. For instance, the Set G/L-subledger.  Also, accessing some of the actions through tabs and others through grids.  A person could miss that all together.  I have submitted several enhancement requests and can't wait to hear the results. ",0,0,0,0,0,0,1,1
ServiceInsight7,MB_29,The notes function and the actual recorded history of the work order is confusing and folks often look in the wrong place! ,0,0,0,0,0,0,0,1
ServiceInsight7,md_ClientAddress_67,"I think SI7 is outdated i.e. the layout, the colours, etc. I would be grateful if the 'change category' box can be eliminated from popping up every time a request is opened.",0,0,0,0,0,0,0,1
ServiceInsight7,Mk_ClientAddress_145,"I think there are too many steps to rise a ticket. it is small things each of them but taking time in total. for example, need to click ""start"", type and select my name after login to the system and need to type the request and completion both. need to click a dispatch..  Daily basic request, we do not have something particular to type comments, so I hope I can rise a ticket without key board, just using only mouse is better then.  ",0,0,0,0,0,0,0,1
ServiceInsight7,mm_ClientAddress_194,"The Request Dashboard is a good service in submitting work to be completed, however if the Matrix is not setup properly this can lead to work orders going to companies that are not in my state. I would like to see the name of the company along side the Primary/Secondary matrix in the dispatching tool. Because this does not exist, I have to use the Main Portal to reassign the job to the correct vendor.",0,0,0,0,0,1,1,1
ServiceInsight7,MS_253,SI7 is a big component to getting our work done. The biggest issue iv'e had is being locked out for 10+ days with limited ability to perform my job. I feel local admins should have reset/lockout permissions back to help streamline our issues.,0,0,0,0,1,0,1,0
ServiceInsight7,mh_130,If there was an option to open work orders in a new browser window when selecting them from a loaded site search screen that would be great.  The way it is now if I am looking for a specific work order if I click on one from the list and it's not the one I'm looking for every time I hit the back button I must rerun the site search.,0,0,0,0,0,0,0,1
ServiceInsight7,ml_187,"Hola,he entrado pero necesito las atribuciones de supervisor para poder abrir tickets y cerrarlos. Tambien en la aplicacion mobil amfm los tecnicos a cargo no han podido accesar y no se ven reflejados los reportes para poderlos visualizar",1,0,0,0,1,0,0,0
ServiceInsight7,md_ClientAddress_71,Please don't change it!,0,0,0,1,0,0,0,0
ServiceInsight7,ml_ClientAddress_170,Instead of primary secondary Tertiary for the vendors it would be nice to be able to have the name of the vendor displayed in a drop down or search menu. ,1,0,0,0,0,0,1,1
ServiceInsight7,MW_304,I feel that the main UI could really do with an uplift to look slicker and cleaner like the other CMMS competitors such as Maximo. ,0,0,0,0,0,0,0,1
ServiceInsight7,MT_284,somehow making history searches easier.,0,0,0,0,0,0,0,1
ServiceInsight7,MB_ClientAddress_14,Why fix it if it isn't broken ,0,1,0,0,0,0,0,0
ServiceInsight7,MK_164,"takes time to open and navigate through and WOs, assigning WOs need to be done individually which sometime it is time consuming need some flexibility especially in search tools, it is not user friendly when need to look for assets and PMs ",0,0,0,0,0,0,0,1
ServiceInsight7,mb_ClientAddress_32,"There are not enough specific problem reporting codes to drill down into, something that probably needs to be revisited.  Not enough training available to how to pull reports, to measure KPI's against the SLA.  The dispatching path somethings go through to many hands before being dispatched to the assignee. Job Safety templates is a lot and should be link to the problem code and automatic within the work order.",0,0,0,0,0,1,1,1
ServiceInsight7,MT_281,"Open WOs in seperate tabs of browser (chrome, edge) will save a lot of time. ",0,0,0,0,0,0,0,1
ServiceInsight7,MR_246,"Some features ideally would be dataloadable that are currently not. Attaching documents to equipment tags, or the details of contact IDs for example.",0,0,0,0,0,0,1,0
ServiceInsight7,MH_121,It would be helpful to have an option to add attachments and add a tag when creating the work order. You need to create the work order and then go back in it to add an attachment and tag,1,0,0,0,0,0,0,0
ServiceInsight7,mr_248,I would like to see the mobile MFM app have more streamlined controls for the tech in the field. ,1,0,0,0,1,0,0,1
ServiceInsight7,MB_31,"I'm a new employee.  Like anything else, the more I use it, the easier it gets.  It was confusing at first, and I sometimes still get confused, but I'm beginning to understand it better and hope to be able to take better advantage of what it offers.",0,0,0,0,0,1,0,1
ServiceInsight7,MS_ClientAddress_269,"SI could be improved with more functionality. If we didn't have Coupa and could do everything in SI, it would help. PO's are time consuming, price increase or decrease takes time. One stop shop would be so helpful.",1,0,0,0,0,0,0,1
ServiceInsight7,MA_ClientAddress_12,"Small quality of life changes. Less of a need to constantly sync, and more streamlined menus in IMFM.",0,0,0,0,0,0,1,1
ServiceInsight7,mr_236,"I think the usability must be easier. SI7 presents some troubles when we change languages, for example.",0,0,0,0,0,0,0,1
ServiceInsight7,MG_101,"The overall performance is poor the web pages take a long time to load. The controls used in the pages to save, reassign and to make changes are also very slow. ",0,0,0,0,0,0,1,0
ServiceInsight7,LK_144,Not too sure what's ServiceInsight is. Was not introduce to the team.,0,1,0,0,0,0,0,0
ServiceInsight7,LK_161,"SIRequest bug reporting system not working. Even though we are supposed to launch it from July.   We have a test group at the client's. I receive information from the client that they can't submit a request or log in, I get login errors that we don't know what they mean. I've been getting a different error every time since last week and I can't complete the request every time. Below is a test login from this morning, I supposedly logged in, but I can't send the application",0,0,0,0,0,0,1,0
ServiceInsight7,LL_166,"Mobile app version can't be logged in and used. Desktop version is not user friendly, slow to load data and very difficult to use the filtering function.",0,0,0,0,0,0,1,0
ServiceInsight7,lc_ClientAddress_36,ServiceInsight works very well with my account and is very compatible. Very easy to learn and communicate with other subcontractors. ,0,0,0,1,0,0,0,0
ServiceInsight7,lg_ClientAddress_114,System needs to be streamlined. Too many steps to create/edit/close/pull data/ make corrections. ,0,0,0,0,0,0,1,1
ServiceInsight7,ls_262,"After 6:30am CST SI is very very slow, somedays it takes a long time to access SI and remains that way throughout the day. ",0,0,0,0,0,0,1,0
ServiceInsight7,lr_ClientAddress_234,It would be better if the locations were available for all employee houses and detachments. ,1,0,0,0,1,0,0,0
ServiceInsight7,ln_211,older version you were able to back date when completed... this system is more suited for a service company rather than in house facilties,1,0,0,0,0,0,0,0
ServiceInsight7,lh_116,DO NOT MOVE FORWARD WITH JARVIS. We are one of the accounts testing it and it is the absolute worst. Please just improve SI similar to how it occurred when we changed from SI 6 to Si 7.,0,0,0,0,0,0,0,1
ServiceInsight7,lb_ClientAddress_19,The update of the BUILDING INSPECTIONS SURVEY every 3 months minimum and also that the suppliers can mark as completed a WO when it is assigned to them. Regarding the SMALL WORKS there is a problem to generate the PO in automatic this we have to create it manually and then link it to the WO.,1,0,0,0,0,0,0,0
ServiceInsight7,lh_ClientAddress_126,"It is frustrating that more than one person can't be in a work order. The WO gets locked and then you can't make edits.  PO information that goes with the WO is a hassle to track down. Something more seamless or easier to get to would be better (possible PO# listed in the ""log"") CPI status should trigger a notification/email to the FC or FM for work to be inspected.  Re-send option for CAT5 approval emails to the client - or auto re-send after 24/36 hours without acknowledgement of the request. Added CAS field where the Activity/BOMA code can be selected prior to PRL - The Activity/BOMA codes do not align with every budget BOMA code based on the WO  description/problem. Being able to select all the financial information prior to PRL would make for less edits on PO's.  ",0,0,0,0,1,0,1,1
ServiceInsight7,LN_214,My account has switched from IMFM to the Carrigo. We no longer use IMFM and it is missed. I thought IMFM was a better service tool for work orders. Carrigo is owned by a competitor of CBRE and I feel the competition is purposefully sabotaging our efforts to maintain the Wells Fargo account ,1,0,1,0,0,0,0,0
ServiceInsight7,kw_ClientAddress_309,"MAKE IT MORE USER FRIENDLY.  TOO MANY POINTLESS DROP DOWN BOXES.  ALSO, SYSTEM CRASHED DOZENS OF TIMES EACH DAY FOR NO REASON.  VERY SLOW TO PROCESS AND MOVE FROM SCREEN TO SCREEN.  ",0,0,0,0,0,0,1,1
ServiceInsight7,kc_46,For 6 1/2 years I directly worked in Si7 and after getting use to it was pretty much like second nature to me. I no longer have that job so I am not in it as much anymore. I can tell you that it can be very complicated for users and I feel like it has alot  of quirks,0,0,0,0,0,1,0,0
ServiceInsight7,KM_193,PM reporting could be better; missing the option to store building details at the building level with ease of access/reporting of those items,0,0,0,0,0,0,1,1
ServiceInsight7,kj_ClientAddress_142,The interface can use some improvement.  The design looks dated.  ,0,0,0,0,0,0,0,1
ServiceInsight7,KJ_134,It will be a great help to save time when you have made an FCR wo and have entered documents so that they are transferred to the SUP wo/Po you make,1,0,0,0,0,0,1,0
ServiceInsight7,kc_39,I am kicked out of the system regularly when working for long periods of time.  Overall it is a good work order system.,0,0,0,0,0,0,1,0
ServiceInsight7,kb_25,You have to click around for certain buttons that could be on the first page since are used so frequently.  Also I find ServiceInsight to be slow.,0,0,0,0,0,0,1,1
ServiceInsight7,kl_186,Adding a receipt attachment to FPO created on MFM after the FPO is created be extremely helpful ,1,0,0,0,0,0,0,0
ServiceInsight7,ka_11,Better signal strength & not so many logins per day,0,0,0,0,0,0,1,0
ServiceInsight7,kg_102,"   sometimes it can get confusing, to many fields to fill out to open a work order.",0,0,0,0,0,0,0,1
ServiceInsight7,KP_ClientAddress_231,It should be translated into different languages. I'm from the LATAM region and my native language is Spanish. I would prefer to use it in Spanish and so my team.,1,0,0,0,0,0,0,0
